Politique
FIFO

Numéro    Intitulé              Arrivée    Durée    Priorité
1         Tache1                       0        3           0
2         Tache2                     852        6           0
3         Tache3                    3201        8           9
4         Tache4                      67        3           1
5         Tache5                     665        8           9
6         Tache6                    4947        7          10
7         Tache7                    3386        7           2
8         Tache8                    1785        9           5
9         Tache9                     655        2           0
10        Tache10                   3043        3           1
11        Tache11                   1815        9           2
12        Tache12                   2031       10           5
13        Tache13                   3605        9           4
14        Tache14                   1226        7           8
15        Tache15                      6        4           5
16        Tache16                   1784       10           6
17        Tache17                   2328        1          10
18        Tache18                   4372        7           7
19        Tache19                   2014        3           5
20        Tache20                   3740        7           8
21        Tache21                   3852        7           1
22        Tache22                   2844        8           1
23        Tache23                   2248        7           0
24        Tache24                   2001        6           1
25        Tache25                   2460        1           9
26        Tache26                   3974        3           3
27        Tache27                   1385        3           3
28        Tache28                   2329        7           3
29        Tache29                   1438        5           8
30        Tache30                   4275        5          10
31        Tache31                    739        5          10
32        Tache32                   4480       10           5
33        Tache33                    638        8          10
34        Tache34                    118        1           4
35        Tache35                   4963       10           3
36        Tache36                   2802        5           6
37        Tache37                   2361        8           3
38        Tache38                     74        6           9
39        Tache39                    769        4           4
40        Tache40                   3490       10           1
41        Tache41                   4757        5           6
42        Tache42                   4406        1           9
43        Tache43                   3969        3           8
44        Tache44                   2707        6           1
45        Tache45                   1268        2           9
46        Tache46                    240       10           6
47        Tache47                   3184        5           3
48        Tache48                     85        9           1
49        Tache49                   4903        9           2
50        Tache50                   4127        6           7
51        Tache51                     77        2           0
52        Tache52                   1283       10           1
53        Tache53                   1972        2           9
54        Tache54                   3551        6           3
55        Tache55                   4950        9           6
56        Tache56                   3291        9           6
57        Tache57                    593        8           6
58        Tache58                    423        9           2
59        Tache59                    419        9           7
60        Tache60                   4546        7           7
61        Tache61                   4861        4           3
62        Tache62                   3819        4           6
63        Tache63                    287        4           6
64        Tache64                   2333        7           8
65        Tache65                   2571        2           7
66        Tache66                   3783        3           1
67        Tache67                   1670        6           2
68        Tache68                   4352        5           6
69        Tache69                   1046        1           8
70        Tache70                   3364        1           3
71        Tache71                   4128        7           8
72        Tache72                   2940        7           8
73        Tache73                   3752        8           5
