Politique
PR

Numéro    Intitulé              Arrivée    Durée    Priorité
1         Tache1                       0        2           5
2         Tache2                       8        9           6
3         Tache3                      39       10           4
4         Tache4                      49        7           9
5         Tache5                      35        3           8
6         Tache6                      49        5           3
7         Tache7                       6        1           8
8         Tache8                      20        7           9
9         Tache9                      16        7           3
10        Tache10                     19        2           5
11        Tache11                     39        2           8
12        Tache12                     32        1           6
13        Tache13                      4        6           2
14        Tache14                     23        7           9
15        Tache15                      2        8           4
16        Tache16                      2        6          10
17        Tache17                     30        7           6
18        Tache18                     34        2           6
19        Tache19                     41       10           1
20        Tache20                     32        4           6
21        Tache21                     23        8           0
22        Tache22                      9        7           6
23        Tache23                     30        4           7
24        Tache24                     17        9           5
25        Tache25                     24        7           3
26        Tache26                     23        1           0
27        Tache27                      5       10           6
28        Tache28                     33        7          10
29        Tache29                     26       10           2
30        Tache30                     41        7           8
31        Tache31                      8        7           6
32        Tache32                     33        7           1
33        Tache33                     25        3           9
34        Tache34                     32        6           6
35        Tache35                     12        1           2
36        Tache36                     41        1          10
37        Tache37                      2        9           2
38        Tache38                     38        8           4
39        Tache39                     21        8           0
40        Tache40                     13        8           8
41        Tache41                      8        8           9
42        Tache42                     39        3          10
43        Tache43                     44        2           4
44        Tache44                     45        6           3
45        Tache45                     23        9          10
46        Tache46                     46        3           5
47        Tache47                     11        8           7
48        Tache48                      7        9           7
49        Tache49                     41        7           7
50        Tache50                     19        9           3
51        Tache51                      8        9           8
52        Tache52                     30        8           3
53        Tache53                     11        5           0
54        Tache54                     33        6           4
55        Tache55                     33        4           9
56        Tache56                     11        1           0
57        Tache57                     46       10           6
58        Tache58                      5        5           3
59        Tache59                     23        3           6
60        Tache60                     27        4           9
61        Tache61                     41        4          10
62        Tache62                     39        8           1
63        Tache63                     41        9           4
64        Tache64                     34        7          10
65        Tache65                     42        3           1
66        Tache66                     24        3           1
67        Tache67                     40        1           0
68        Tache68                     17        1           5
69        Tache69                     49        2          10
70        Tache70                     21       10           7
71        Tache71                      3       10           9
72        Tache72                     29        5           5
73        Tache73                     45        3           8
74        Tache74                     38        6           0
75        Tache75                     38        2           3
76        Tache76                     40        6           3
77        Tache77                     37        2           5
78        Tache78                      2       10           1
79        Tache79                     30        5           0
80        Tache80                     14        1           3
81        Tache81                     38        6           6
82        Tache82                     37        3           9
83        Tache83                     19        7           7
84        Tache84                     19        3           0
85        Tache85                      0        9           6
86        Tache86                     45        9           8
87        Tache87                     31        7           6
88        Tache88                      7        2           4
89        Tache89                     11        4          10
90        Tache90                     21        8           0
91        Tache91                      4        9           7
92        Tache92                     22        3           2
93        Tache93                     45       10           1
94        Tache94                     43       10          10
95        Tache95                     35        1           5
96        Tache96                     43        4           8
97        Tache97                     25        7           6
98        Tache98                     46        1           0
99        Tache99                     22        9           2
100       Tache100                    30        6           1
